Year,Q (liters),P (yen/liter),Tax_rate (%),GDP (trillion yen),CPI,P_relative,ln_Q,ln_P,ln_P_relative,ln_GDP,ln_Tax_rate,D2008,D2020,D2009
2007,59827439000.0,139.6,70.525,526.6800000000001,95.5,1.4615230981841962,24.814730238819138,4.938781190328272,0.3794791098809468,6.266593153488143,4.25596725688806,0,0,0
2008,57328432000.0,156.0,51.6225,520.23,96.81666666666666,1.6108289354668146,24.772062533065323,5.049856007249537,0.4767489132475384,6.254271021478568,3.943957623958492,1,0,0
2009,58128233000.0,120.2,92.38,490.6,95.525,1.2585273955856642,24.78591732081249,4.789157022101107,0.2299423037994225,6.195629131824389,4.525910505002459,0,0,1
2010,58367886000.0,133.075,76.03,510.72,94.81666666666666,1.4035027064923102,24.79003167827137,4.890912879058821,0.3389710452057642,6.23582149482139,4.331127999240345,0,0,0
2011,56902522000.0,145.8,65.2925,510.84,94.55833333333334,1.5418641538019182,24.764605500470783,4.982235819574558,0.4329921738556112,6.236056429628062,4.178877175168489,0,0,0
2012,57099192000.0,146.925,64.7775,517.86,94.51666666666668,1.5544487329603562,24.768055802895294,4.989922252498714,0.441120970211075,6.249704935459621,4.1709583208404135,0,0,0
2013,55475225000.0,155.825,59.935,528.25,94.83333333333334,1.6430575971735857,24.739202361637872,5.048733582694914,0.4965588945414628,6.269569656496167,4.093260641659064,0,0,0
2014,53550296000.0,162.875,57.197500000000005,529.81,97.45,1.6712543190647555,24.70388716136924,5.092983035445009,0.513574433762617,6.272518451707025,4.046510191136898,0,0,0
2015,47110000000.0,137.65,75.6225,538.09,98.225,1.401364347850418,24.57575112965836,4.9247142315886165,0.3374462962499353,6.288025832416354,4.325753857953343,0,0,0
2016,52848607000.0,120.625,95.9175,542.13,98.1,1.2295220222597774,24.6906971912994,4.79268655965915,0.2066254940710628,6.295505825078182,4.563488446993448,0,0,0
2017,51903928000.0,133.425,79.6725,551.22,98.57500000000002,1.3534648063783974,24.67266030826207,4.893539522220008,0.3026678277972564,6.31213400351143,4.377924482340141,0,0,0
2018,50999119000.0,149.725,65.775,554.76,99.55,1.503932045008702,24.65507419501173,5.008800278150526,0.408083041666914,6.318535587788134,4.186239826926356,0,0,0
2019,49651370000.0,146.025,68.695,552.54,100.01666666666664,1.459989182746652,24.62829182020897,4.983777839926373,0.3784290266151621,6.31452582896133,4.229676416375911,0,0,0
2020,40890067000.0,136.175,78.7625,529.51,99.99166666666667,1.3617588173583806,24.43415300986405,4.913940823269738,0.3087771122806072,6.271952050604393,4.366436995268174,0,1,0
2021,44767547000.0,154.825,63.905,543.78,99.75833333333333,1.5519226001427238,24.524749316543403,5.042295446824125,0.4394945494753658,6.298544753294745,4.157397605583678,0,0,0
2022,44781215000.0,170.47500000000002,54.6825,549.0,102.25,1.667593727189122,24.52505458039744,5.138588658406717,0.511381705437388,6.3080984415095305,4.001543731366558,0,0,0
2023,44645283000.0,172.725,53.7075,555.84,105.59166666666668,1.6356192916921786,24.522014494791232,5.151700734374859,0.4920215043105072,6.32048048305274,3.9835526565670674,0,0,0
2024,43826119000.0,174.975,52.595,556.43,108.48333333333332,1.6130673363731831,24.5034958007991,5.164643106575603,0.4781375443183406,6.321541376640335,3.9626210581912376,0,0,0
2025,10200713000.0,184.0,48.87,142.01,111.03333333333336,1.6571600120084056,23.04572345675439,5.214935757608986,0.5051053010774611,4.955897477656921,3.889163711282064,0,0,0
