Year,Q_prev,Q_curr,P_prev,P_curr,Price_Contribution,Price_Effect,CS_Increase,Cumulative_CS,ΔQ,ΔP
2007.0,59827439000.0,59827439000.0,139.6,139.6,0.0,0.0,0.0,0.0,0.0,0.0
2008.0,59827439000.0,57328432000.0,139.6,156.0,1.093351456407109,-2732292943.02156,-938273340067.2235,-938273340067.2235,-2499007000.0,16.400000000000006
2009.0,57328432000.0,58128233000.0,156.0,120.2,6.394623317905183,5114426124.283883,2158222531124.6814,1219949191057.458,799801000.0,-35.8
2010.0,58128233000.0,58367886000.0,120.2,133.075,-10.09986199287307,-2420462226.17801,-734362040481.4783,485587150575.97974,239653000.0,12.874999999999986
2011.0,58367886000.0,56902522000.0,133.075,145.8,1.4806696698989514,-2169720030.161807,-719603127208.0968,-234015976632.11707,-1465364000.0,12.725000000000023
2012.0,56902522000.0,57099192000.0,145.8,146.925,-0.8678742722215347,-170684833.11780924,-64029953906.37123,-298045930538.4883,196670000.0,1.125
2013.0,57099192000.0,55475225000.0,146.925,155.825,0.827971690846507,-1344598702.8689294,-494972691422.232,-793018621960.7202,-1623967000.0,8.899999999999977
2014.0,55475225000.0,53550296000.0,155.825,162.875,0.5068795340971506,-975707114.690094,-380875593945.718,-1173894215906.4382,-1924929000.0,7.050000000000011
2015.0,53550296000.0,47110000000.0,162.875,137.65,-0.5006119492525682,3224089134.3235183,1310241807506.655,136347591600.2168,-6440296000.0,-25.224999999999994
2016.0,47110000000.0,52848607000.0,137.65,120.625,0.3947171018086445,2265126323.4588,870179529915.9434,1006527121516.1602,5738607000.0,-17.025000000000006
2017.0,52848607000.0,51903928000.0,120.625,133.425,2.307758422453312,-2180090918.7647724,-656463642119.906,350063479396.25415,-944679000.0,12.800000000000011
2018.0,51903928000.0,50999119000.0,133.425,149.725,2.724345131057369,-2465011993.686887,-818569985301.451,-468506505905.1969,-904809000.0,16.299999999999983
2019.0,50999119000.0,49651370000.0,149.725,146.025,-0.3635209761432609,489935032.07610375,187109784459.34024,-281396721445.8567,-1347749000.0,-3.6999999999999886
2020.0,49651370000.0,40890067000.0,146.025,136.175,-0.14860724044492568,1301993061.5318487,452328893053.04407,170932171607.18738,-8761303000.0,-9.849999999999994
2021.0,40890067000.0,44767547000.0,136.175,154.825,-0.5614591010525356,-2177046435.1491857,-778456292542.2329,-607524120935.0455,3877480000.0,18.649999999999977
2022.0,44767547000.0,44781215000.0,154.825,170.47500000000002,-128.70635742822012,-1759158493.3289125,-686953647439.7028,-1294477768374.7483,13668000.0,15.650000000000034
2023.0,44781215000.0,44645283000.0,170.47500000000002,172.725,1.6903023795065293,-229766183.05108154,-100346323294.06625,-1394824091668.8145,-135932000.0,2.2499999999999716
2024.0,44645283000.0,43826119000.0,172.725,174.975,0.27599451872028175,-226084773.93298087,-99275981879.3254,-1494100073548.14,-819164000.0,2.25
2025.0,43826119000.0,10200713000.0,174.975,184.0,0.02613395285117181,-878764775.0055096,-239830653352.78778,-1733930726900.9277,-33625406000.0,9.025000000000006
