Year,Q (liters),P (yen/liter),Tax_rate (%),GDP (trillion yen),CPI,P_relative,D2008,D2020,D2009
1950,0.0,,,0.0,,,0,0,0
1951,0.0,,,0.0,,,0,0,0
1952,0.0,,,0.0,,,0,0,0
1953,0.0,,,0.0,,,0,0,0
1954,0.0,,,0.0,,,0,0,0
1955,0.0,,,0.0,,,0,0,0
1956,0.0,,,0.0,,,0,0,0
1957,0.0,,,0.0,,,0,0,0
1958,0.0,,,0.0,,,0,0,0
1959,0.0,,,0.0,,,0,0,0
1960,0.0,,,0.0,,,0,0,0
1961,0.0,,,0.0,,,0,0,0
1962,0.0,,,0.0,,,0,0,0
1963,0.0,,,0.0,,,0,0,0
1964,0.0,,,0.0,,,0,0,0
1965,0.0,,,0.0,,,0,0,0
1966,0.0,,,0.0,,,0,0,0
1967,0.0,,,0.0,,,0,0,0
1968,0.0,,,0.0,,,0,0,0
1969,0.0,,,0.0,,,0,0,0
1970,0.0,,,0.0,30.974999999999998,,0,0,0
1971,0.0,,,0.0,32.95,,0,0,0
1972,0.0,,,0.0,34.55,,0,0,0
1973,0.0,,,0.0,38.55833333333333,,0,0,0
1974,0.0,,,0.0,47.50833333333333,,0,0,0
1975,0.0,,,0.0,53.083333333333336,,0,0,0
1976,0.0,,,0.0,58.06666666666667,,0,0,0
1977,0.0,,,0.0,62.800000000000004,,0,0,0
1978,0.0,,,0.0,65.43333333333334,,0,0,0
1979,0.0,,,0.0,67.875,,0,0,0
1980,0.0,,,0.0,73.15,,0,0,0
1981,0.0,,,0.0,76.75833333333333,,0,0,0
1982,0.0,,,0.0,78.86666666666667,,0,0,0
1983,0.0,,,0.0,80.35,,0,0,0
1984,0.0,,,0.0,82.15833333333333,,0,0,0
1985,0.0,,,0.0,83.83333333333334,,0,0,0
1986,0.0,,,0.0,84.34166666666667,,0,0,0
1987,0.0,,,0.0,84.45,,0,0,0
1988,0.0,,,0.0,85.0,,0,0,0
1989,0.0,,,0.0,86.95,,0,0,0
1990,0.0,131.4,71.72,0.0,89.61666666666666,1.4537137314725728,0,0,0
1991,0.0,126.725,76.045,0.0,92.55,1.36947473994852,0,0,0
1992,0.0,123.725,79.2675,0.0,94.15,1.3141884162643747,0,0,0
1993,0.0,124.0,78.95,0.0,95.33333333333334,1.3007664569690536,0,0,0
1994,0.0,120.9,82.595,446.53,95.99166666666666,1.2595101064996719,0,0,0
1995,0.0,115.35,90.13499999999999,458.28,95.90833333333333,1.2027024268494146,0,0,0
1996,0.0,107.5,103.31,472.63,96.04166666666666,1.1193750875635708,0,0,0
1997,0.0,103.775,112.84,477.27,97.675,1.0627406795055685,0,0,0
1998,0.0,93.675,142.10750000000002,471.2,98.30833333333332,0.952930277052177,0,0,0
1999,0.0,93.525,142.7025,469.62,97.96666666666667,0.9546797340112324,0,0,0
2000,0.0,101.2,119.4825,482.61,97.29166666666667,1.0401926876765346,0,0,0
2001,0.0,102.55,115.965,484.48,96.61666666666666,1.0613845532486104,0,0,0
2002,0.0,99.4,123.9025,484.69,95.75,1.0381141689549835,0,0,0
2003,0.0,101.55,120.91,492.13,95.5,1.0633397202650738,0,0,0
2004,0.0,111.125,108.03,502.88,95.49166666666667,1.163533878174439,0,0,0
2005,0.0,124.625,85.72,511.95000000000005,95.21666666666667,1.308870772783413,0,0,0
2006,0.0,135.725,73.6075,518.98,95.45833333333334,1.421721375589391,0,0,0
2007,59827439000.0,139.6,70.525,526.6800000000001,95.49999999999999,1.4615230981841962,0,0,0
2008,57328432000.0,156.0,51.6225,520.23,96.81666666666666,1.6108289354668146,1,0,0
2009,58128233000.0,120.19999999999999,92.38,490.6,95.525,1.2585273955856642,0,0,1
2010,58367886000.0,133.075,76.03,510.72,94.81666666666666,1.4035027064923102,0,0,0
2011,56902522000.0,145.8,65.2925,510.84000000000003,94.55833333333334,1.5418641538019182,0,0,0
2012,57099192000.0,146.925,64.7775,517.86,94.51666666666667,1.5544487329603562,0,0,0
2013,55475225000.0,155.825,59.935,528.25,94.83333333333334,1.6430575971735855,0,0,0
2014,53550296000.0,162.875,57.197500000000005,529.81,97.45,1.6712543190647557,0,0,0
2015,47110000000.0,137.65,75.6225,538.09,98.225,1.4013643478504179,0,0,0
2016,52848607000.0,120.625,95.9175,542.13,98.10000000000001,1.2295220222597774,0,0,0
2017,51903928000.0,133.425,79.6725,551.22,98.57500000000002,1.3534648063783974,0,0,0
2018,50999119000.0,149.725,65.775,554.76,99.55,1.5039320450087021,0,0,0
2019,49651370000.0,146.025,68.695,552.54,100.01666666666665,1.459989182746652,0,0,0
2020,40890067000.0,136.175,78.7625,529.51,99.99166666666667,1.3617588173583806,0,1,0
2021,44767547000.0,154.825,63.905,543.78,99.75833333333333,1.5519226001427238,0,0,0
2022,44781215000.0,170.47500000000002,54.6825,549.0,102.25,1.667593727189122,0,0,0
2023,44645283000.0,172.725,53.707499999999996,555.84,105.59166666666667,1.6356192916921786,0,0,0
2024,43826119000.0,174.975,52.595,556.43,108.48333333333333,1.6130673363731833,0,0,0
2025,10200713000.0,184.0,48.87,142.01,111.03333333333336,1.6571600120084056,0,0,0
